,Year,Month,Date,film_strtitle,total_amount,total_tickets
462,2015,2,2,ISAI,69760.0,607
463,2015,2,2,KHAMOSHIYAN SILENCES HAVE SECRETS,6370.0,54
464,2015,2,2,KILLADI,6970.0,59
465,2015,2,2,PK,19460.0,164
466,2015,2,2,PULAN VISARANAI 2,5930.0,54
467,2015,2,2,SEVENTH SON,8880.0,74
468,2015,2,2,TAKEN 3,11410.0,96
469,2015,2,2,THE IMITATION GAME,11890.0,100
470,2015,2,2,THE THEORY OF EVERYTHING,8040.0,67
471,2015,2,2,TOURING TALKIES,4460.0,39
472,2015,2,3,AAMBALA,11980.0,109
473,2015,2,3,AMERICAN SNIPER,11920.0,103
474,2015,2,3,BABY,44740.0,382
475,2015,2,3,BIRDMAN,23830.0,205
476,2015,2,3,DARLING,45590.0,401
477,2015,2,3,DOLLY KI DOLI,12870.0,110
478,2015,2,3,FOXCATCHER,10720.0,93
479,2015,2,3,GOPALA GOPALA,7700.0,66
480,2015,2,3,HAWAIZAADA,4690.0,40
481,2015,2,3,I,82390.0,715
482,2015,2,3,ISAI,67160.0,589
483,2015,2,3,KHAMOSHIYAN SILENCES HAVE SECRETS,9770.0,86
484,2015,2,3,KILLADI,2470.0,27
485,2015,2,3,PK,22950.0,194
486,2015,2,3,PULAN VISARANAI 2,5240.0,51
487,2015,2,3,SEVENTH SON,11780.0,100
488,2015,2,3,TAKEN 3,11880.0,99
489,2015,2,3,THE IMITATION GAME,11890.0,100
490,2015,2,3,THE THEORY OF EVERYTHING,10510.0,94
491,2015,2,3,TOURING TALKIES,11540.0,98
492,2015,2,4,AAMBALA,10700.0,91
493,2015,2,4,AMERICAN SNIPER,11930.0,104
494,2015,2,4,BABY,38110.0,324
495,2015,2,4,BIRDMAN,19570.0,164
496,2015,2,4,DARLING,29010.0,250
497,2015,2,4,DOLLY KI DOLI,7220.0,62
498,2015,2,4,FOXCATCHER,11880.0,99
499,2015,2,4,GOPALA GOPALA,4690.0,40
500,2015,2,4,HAWAIZAADA,2400.0,20
501,2015,2,4,I,62020.0,537
502,2015,2,4,ISAI,48860.0,431
503,2015,2,4,KHAMOSHIYAN SILENCES HAVE SECRETS,6290.0,57
504,2015,2,4,KILLADI,2290.0,20
505,2015,2,4,PK,18510.0,157
506,2015,2,4,PULAN VISARANAI 2,5530.0,47
507,2015,2,4,SEVENTH SON,6380.0,55
508,2015,2,4,TAKEN 3,11520.0,96
509,2015,2,4,THE IMITATION GAME,11880.0,99
510,2015,2,4,THE THEORY OF EVERYTHING,9140.0,78
511,2015,2,4,TOURING TALKIES,9770.0,86
512,2015,2,5,AAMBALA,11760.0,98
513,2015,2,5,AMERICAN SNIPER,11880.0,99
514,2015,2,5,BABY,21920.0,190
515,2015,2,5,BIRDMAN,13030.0,115
516,2015,2,5,DARLING,11900.0,101
517,2015,2,5,I,46930.0,392
518,2015,2,5,ISAI,34720.0,293
519,2015,2,5,PK,11880.0,99
520,2015,2,5,TAKEN 3,12960.0,108
521,2015,2,5,THE IMITATION GAME,11880.0,99
522,2015,2,5,YENNAI ARINDHAAL,370790.0,3365
523,2015,2,6,AAMBALA,11780.0,100
524,2015,2,6,AMERICAN SNIPER,11890.0,100
525,2015,2,6,BABY,20400.0,170
526,2015,2,6,BIRDMAN,12640.0,109
527,2015,2,6,DARLING,11780.0,100
528,2015,2,6,I,49700.0,416
529,2015,2,6,ISAI,35420.0,308
530,2015,2,6,JUPITER ASCENDING,23760.0,198
531,2015,2,6,PK,11880.0,99
532,2015,2,6,PONGE EZHU MANOHARA,11880.0,99
533,2015,2,6,SHAMITABH,134650.0,1134
534,2015,2,6,TAKEN 3,12960.0,108
535,2015,2,6,THE IMITATION GAME,9370.0,79
536,2015,2,6,YENNAI ARINDHAAL,197420.0,1779
537,2015,2,7,AAMBALA,11650.0,98
538,2015,2,7,AMERICAN SNIPER,19830.0,168
539,2015,2,7,BABY,24600.0,205
540,2015,2,7,BIRDMAN,18040.0,154
541,2015,2,7,DARLING,21030.0,189
542,2015,2,7,I,49410.0,420
543,2015,2,7,ISAI,36500.0,317
544,2015,2,7,JUPITER ASCENDING,29640.0,258
545,2015,2,7,PK,11880.0,99
546,2015,2,7,PONGE EZHU MANOHARA,11890.0,100
547,2015,2,7,SHAMITABH,136850.0,1167
548,2015,2,7,TAKEN 3,13000.0,112
549,2015,2,7,THE IMITATION GAME,11900.0,101
550,2015,2,7,YENNAI ARINDHAAL,256310.0,2333
551,2015,2,8,AAMBALA,11890.0,100
552,2015,2,8,AMERICAN SNIPER,23520.0,196
553,2015,2,8,BABY,24850.0,208
554,2015,2,8,BIRDMAN,19690.0,165
555,2015,2,8,DARLING,21860.0,184
556,2015,2,8,I,49500.0,418
557,2015,2,8,ISAI,36830.0,317
558,2015,2,8,JUPITER ASCENDING,30880.0,261
559,2015,2,8,PK,11930.0,104
560,2015,2,8,PONGE EZHU MANOHARA,11930.0,104
561,2015,2,8,SHAMITABH,134360.0,1160
562,2015,2,8,TAKEN 3,12980.0,110
563,2015,2,8,THE IMITATION GAME,11890.0,100
564,2015,2,8,YENNAI ARINDHAAL,256000.0,2324
565,2015,2,9,AAMBALA,9600.0,80
566,2015,2,9,AMERICAN SNIPER,11890.0,100
567,2015,2,9,BABY,20810.0,178
568,2015,2,9,BIRDMAN,12860.0,109
569,2015,2,9,DARLING,11300.0,96
570,2015,2,9,I,47320.0,398
571,2015,2,9,ISAI,26100.0,223
572,2015,2,9,JUPITER ASCENDING,23840.0,206
573,2015,2,9,PK,11900.0,101
574,2015,2,9,PONGE EZHU MANOHARA,10960.0,95
575,2015,2,9,SHAMITABH,121720.0,1051
576,2015,2,9,TAKEN 3,11280.0,94
577,2015,2,9,THE IMITATION GAME,10800.0,90
578,2015,2,9,YENNAI ARINDHAAL,197180.0,1733
579,2015,2,10,AAMBALA,9870.0,85
580,2015,2,10,AMERICAN SNIPER,11670.0,100
581,2015,2,10,BABY,19560.0,163
582,2015,2,10,BIRDMAN,12980.0,110
583,2015,2,10,DARLING,11430.0,98
584,2015,2,10,I,44200.0,372
585,2015,2,10,ISAI,19950.0,169
586,2015,2,10,JUPITER ASCENDING,23220.0,199
587,2015,2,10,PK,11900.0,101
588,2015,2,10,PONGE EZHU MANOHARA,11310.0,97
589,2015,2,10,SHAMITABH,120570.0,1024
590,2015,2,10,TAKEN 3,13030.0,115
591,2015,2,10,THE IMITATION GAME,9490.0,80
592,2015,2,10,YENNAI ARINDHAAL,194750.0,1688
593,2015,2,11,AAMBALA,9840.0,82
594,2015,2,11,AMERICAN SNIPER,12140.0,103
595,2015,2,11,BABY,19700.0,166
596,2015,2,11,BIRDMAN,12140.0,103
597,2015,2,11,DARLING,9490.0,80
598,2015,2,11,I,42650.0,360
599,2015,2,11,ISAI,21450.0,187
600,2015,2,11,JUPITER ASCENDING,23460.0,201
601,2015,2,11,PK,11940.0,105
602,2015,2,11,PONGE EZHU MANOHARA,10240.0,89
603,2015,2,11,SHAMITABH,118450.0,1010
604,2015,2,11,TAKEN 3,10800.0,90
605,2015,2,11,THE IMITATION GAME,10590.0,91
606,2015,2,11,YENNAI ARINDHAAL,191380.0,1637
607,2015,2,12,AAMBALA,11990.0,110
608,2015,2,12,AMERICAN SNIPER,11640.0,97
609,2015,2,12,BABY,21700.0,190
610,2015,2,12,BIRDMAN,12840.0,107
611,2015,2,12,BLIND DATE,6120.0,62
612,2015,2,12,DARLING,11120.0,100
613,2015,2,12,I,30350.0,263
614,2015,2,12,ISAI,20250.0,177
615,2015,2,12,JUPITER ASCENDING,22590.0,191
616,2015,2,12,PK,11900.0,101
617,2015,2,12,PONGE EZHU MANOHARA,10080.0,84
618,2015,2,12,SHAMITABH,119060.0,1016
619,2015,2,12,TAKEN 3,11430.0,98
620,2015,2,12,THE IMITATION GAME,11660.0,99
621,2015,2,12,YENNAI ARINDHAAL,177760.0,1529
622,2015,2,13,AADU,7320.0,61
623,2015,2,13,AMERICAN SNIPER,12600.0,105
624,2015,2,13,ANEGAN,135150.0,1239
625,2015,2,13,BABY,13000.0,112
626,2015,2,13,BIRDMAN,13000.0,112
627,2015,2,13,DARLING,11890.0,100
628,2015,2,13,I,36920.0,315
629,2015,2,13,JUPITER ASCENDING,24010.0,201
630,2015,2,13,LOVE ROSIE,9030.0,78
631,2015,2,13,MSG THE MESSENGER,4470.0,40
632,2015,2,13,PK,11880.0,99
633,2015,2,13,PONGE EZHU MANOHARA,8300.0,71
634,2015,2,13,ROY,39100.0,346
635,2015,2,13,SHAMITABH,35850.0,318
636,2015,2,13,TAKEN 3,12990.0,111
637,2015,2,13,TEMPER,23970.0,219
638,2015,2,13,YENNAI ARINDHAAL,146960.0,1254
639,2015,2,14,AADU,8420.0,72
640,2015,2,14,AMERICAN SNIPER,13000.0,112
641,2015,2,14,ANEGAN,160470.0,1472
642,2015,2,14,BABY,13000.0,112
643,2015,2,14,BIRDMAN,12960.0,108
644,2015,2,14,DARLING,22920.0,191
645,2015,2,14,I,46390.0,393
646,2015,2,14,JUPITER ASCENDING,39050.0,330
647,2015,2,14,LOVE ROSIE,21390.0,181
648,2015,2,14,MSG THE MESSENGER,11880.0,99
649,2015,2,14,PK,11880.0,99
650,2015,2,14,PONGE EZHU MANOHARA,11900.0,101
651,2015,2,14,ROY,47670.0,411
652,2015,2,14,SHAMITABH,46480.0,402
653,2015,2,14,TAKEN 3,12960.0,108
654,2015,2,14,TEMPER,23940.0,216
