,Year,Month,film_strtitle,total_amount,total_tickets
908,2016,8,A FLYING JATT,249620.0,2159
909,2016,8,ANNMARIYA KALIPPILANNU,73680.0,647
910,2016,8,APPA,357370.0,3067
911,2016,8,ATADUKUNDAM RAA,32710.0,290
912,2016,8,BAABU BANGAARAM,285350.0,2467
913,2016,8,BAD MOMS,429900.0,3654
914,2016,8,BAYAM ORU PAYANAM,71230.0,644
915,2016,8,BEN HUR,256960.0,2167
916,2016,8,BLIND DATE,34800.0,290
917,2016,8,BUDHIA SINGH BORN TO RUN,48500.0,429
918,2016,8,DHARMADURAI,353650.0,3190
919,2016,8,DISHOOM,343740.0,2969
920,2016,8,ENNAMA KADHAUDRANUNGA,23810.0,203
921,2016,8,GHOSTBUSTERS,257170.0,2155
922,2016,8,HAPPY BHAG JAYEGI,352240.0,3027
923,2016,8,ICE AGE COLLISION COURSE,465440.0,3900
924,2016,8,JASON BOURNE,590150.0,4972
925,2016,8,JOKER,629090.0,5533
926,2016,8,KABALI,2260240.0,19180
927,2016,8,LIGHTS OUT,1506040.0,12862
928,2016,8,MADAARI SSHHH DESH SO RAHA HAI,127580.0,1076
929,2016,8,MECHANIC RESURRECTION,336050.0,2926
930,2016,8,MEENDUM ORU KADHAL KADHAI,124410.0,1111
931,2016,8,MOHENJO DARO,936110.0,8099
932,2016,8,MUDINJA IVANA PUDI,70630.0,628
933,2016,8,NAMADHU,76890.0,660
934,2016,8,NAMBIYAAR,214210.0,1896
935,2016,8,NINE LIVES,136650.0,1147
936,2016,8,PELLI CHUPULU,301190.0,2575
937,2016,8,PETE S DRAGON,269360.0,2274
938,2016,8,PINNEYUM,62600.0,540
939,2016,8,PRETHAM,134750.0,1166
940,2016,8,RUSTOM,1041490.0,8900
941,2016,8,SANDIKUTHIRAI,23860.0,208
942,2016,8,SRIRASTU SUBHAMASTU,94340.0,821
943,2016,8,STAR TREK BEYOND,44080.0,371
944,2016,8,SUICIDE SQUAD,1195630.0,10124
945,2016,8,SULTAN,155020.0,1312
946,2016,8,TAMILSELVANUM THANIYAAR ANJALUM,258280.0,2310
947,2016,8,THE BFG,216060.0,1817
948,2016,8,THE LEGEND OF MICHAEL MISHRA,37650.0,322
949,2016,8,THIRUNAAL,492770.0,4408
950,2016,8,UNINDIAN,10810.0,91
951,2016,8,VENDRU VARUVAN,22050.0,192
952,2016,8,VISMAYAM,70260.0,613
953,2016,8,WAGAH,527430.0,4662
954,2016,8,WAR DOGS,260850.0,2215
955,2016,8,WHITE,13830.0,118
956,2016,9,54321,8770.0,74
957,2016,9,A FLYING JATT,8570.0,76
958,2016,9,AANDAVAN KATTALAI,551950.0,4870
959,2016,9,AKIRA,414080.0,3590
960,2016,9,APPA,9360.0,78
961,2016,9,BAAR BAAR DEKHO,526310.0,4495
962,2016,9,BAD MOMS,187130.0,1575
963,2016,9,BANJO,136510.0,1199
964,2016,9,BAYAM ORU PAYANAM,76000.0,648
965,2016,9,BLIND DATE,25800.0,215
966,2016,9,DAYS OF TAFREE,78790.0,663
967,2016,9,DHARMADURAI,384120.0,3278
968,2016,9,DONT BREATHE,1415590.0,12034
969,2016,9,FREAKY ALI,256390.0,2201
970,2016,9,HAPPY BHAG JAYEGI,430240.0,3644
971,2016,9,HOWL,95220.0,821
972,2016,9,HYPER,22750.0,196
973,2016,9,ICE AGE COLLISION COURSE,420270.0,3505
974,2016,9,IRUMUGAN,2602060.0,22652
975,2016,9,JANATHA GARAGE,380880.0,3284
976,2016,9,JASON BOURNE,8400.0,70
977,2016,9,JO ACHYUTHANANDA,171490.0,1485
978,2016,9,JOKER,235420.0,2015
979,2016,9,KABALI,406670.0,3432
980,2016,9,KALLATTAM,23260.0,203
981,2016,9,KIDAARI,437240.0,3860
982,2016,9,KUTRAMAE THANDANAI,374910.0,3270
983,2016,9,LIGHTS OUT,88670.0,749
984,2016,9,MAJNU,163850.0,1392
985,2016,9,MECHANIC RESURRECTION,102440.0,872
986,2016,9,MEENDUM ORU KADHAL KADHAI,393920.0,3334
987,2016,9,MS DHONI THE UNTOLD STORY,125860.0,1124
988,2016,9,NAAYAGI,68860.0,616
989,2016,9,NINE LIVES,15000.0,125
990,2016,9,NIRMALA CONVENT,45510.0,393
991,2016,9,OOZHAM,143480.0,1236
992,2016,9,OPPAM,346830.0,2959
993,2016,9,ORU MUTHASSI GADHA,61100.0,511
994,2016,9,PARCHED,13060.0,118
